ააგო	ɑ ɑ ɡ ɔ
აბა	ɑ b ɑ
აბაზანა	ɑ b ɑ z ɑ n ɑ
აბანო	ɑ b ɑ n ɔ
აბარებს	ɑ b ɑ r ɛ b s
აბონენტი	ɑ b ɔ n ɛ n tʼ ɪ
აბრალებს	ɑ b r ɑ l ɛ b s
აბრევიატურა	ɑ b r ɛ v ɪ ɑ tʼ u r ɑ
აბრეშუმი	ɑ b r ɛ ʃ u m i
აბსოლუტური	ɑ b s ɔ l u tʼ u r ɪ
აბსურდული	ɑ b s u r d u l i
აბუსერიძე	ɑ b u s ɛ r i d z ɛ
აგდებს	ɑ ɡ d ɛ b s
აგებს	ɑ ɡ ɛ b s
აგვისტო	ɑ ɡ v i s tʼ ɔ
აგვისტოს	ɑ ɡ v ɪ s tʼ ɔ s
აგრეთვე	ɑ ɡ r ɛ tʰ v ɛ
აგროვებს	ɑ ɡ r ɔ v ɛ b s
აგრძელებს	ɑ ɡ r d z ɛ l ɛ b s
ადამიანად	ɑ d ɑ m ɪ ɑ n ɑ d
ადამიანები	ɑ d ɑ m ɪ ɑ n ɛ b ɪ
ადამიანი	ɑ d ɑ m i ɑ n i
ადამიანით	ɑ d ɑ m ɪ ɑ n ɪ tʰ
ადამიანმა	ɑ d ɑ m ɪ ɑ n m ɑ
ადაპტაცია	ɑ d ɑ pʼ tʼ ɑ t s i ɑ
ადგენს	ɑ d ɡ ɛ n s
ადგილას	ɑ d ɡ ɪ l ɑ s
ადგილი	ɑ d ɡ i l i
ადგილობრივი	ɑ d ɡ i l ɔ b r i v i
ადეკვატურად	ɑ d ɛ kʼ v ɑ tʼ u r ɑ d
ადეკვატური	ɑ d ɛ kʼ v ɑ tʼ u r i
ადვილად	ɑ d v ɪ l ɑ d
ადის	ɑ d i s
ადმინისტრაციულად	ɑ d m ɪ n ɪ s tʼ r ɑ t s ɪ u l ɑ d
ადმინისტრაციული	ɑ d m ɪ n ɪ s tʼ r ɑ t s ɪ u l ɪ
ადრე	ɑ d r ɛ
ადრესატი	ɑ d r ɛ s ɑ tʼ ɪ
ადრეული	ɑ d r ɛ u l ɪ
აეროპორტი	ɑ ɛ r ɔ pʼ ɔ r tʼ i
ავად	ɑ v ɑ d
ავადმყოფი	ɑ v ɑ d m qʼ ɔ pʰ i
ავალდებულებს	ɑ v ɑ l d ɛ b u l ɛ b s
ავეჯი	ɑ v ɛ d ʒ ɪ
ავზი	ɑ v z ɪ
ავი	ɑ v i
ავიაცია	ɑ v ɪ ɑ t s ɪ ɑ
ავსტრალია	ɑ v s tʼ r ɑ l i ɑ
ავსტრია	ɑ v s tʼ r i ɑ
ავსტრიული	ɑ v s tʼ r ɪ u l ɪ
ავტომატი	ɑ v tʼ ɔ m ɑ tʼ i
ავტომატურად	ɑ v tʼ ɔ m ɑ tʼ u r ɑ d
ავტომატური	ɑ v tʼ ɔ m ɑ tʼ u r ɪ
ავტონომია	ɑ v tʼ ɔ n ɔ m ɪ ɑ
ავტონომიური	ɑ v tʼ ɔ n ɔ m ɪ u r ɪ
ავტორი	ɑ v tʼ ɔ r i
ავტორის	ɑ v tʼ ɔ r ɪ s
ავტორმა	ɑ v tʼ ɔ r m ɑ
ავტორს	ɑ v tʼ ɔ r s
ავღანელი	ɑ v ɣ ɑ n ɛ l i
აზერბაიჯანი	ɑ z ɛ r b ɑ i d ʒ ɑ n i
აზვიადებს	ɑ z v i ɑ d ɛ b s
აზიური	ɑ z ɪ u r ɪ
აზრად	ɑ z r ɑ d
აზრი	ɑ z r i
აზრით	ɑ z r ɪ tʰ
აზრის	ɑ z r ɪ s
აზრმა	ɑ z r m ɑ
აზროვნება	ɑ z r ɔ v n ɛ b ɑ
აზრს	ɑ z r s
ათეული	ɑ tʰ ɛ u l ɪ
ათი	ɑ tʰ i
აივანი	ɑ ɪ v ɑ n ɪ
აინტერესებს	ɑ i n tʼ ɛ r ɛ s ɛ b s
აკადემია	ɑ kʼ ɑ d ɛ m ɪ ɑ
აკადემიას	ɑ kʼ ɑ d ɛ m ɪ ɑ s
აკადემიის	ɑ kʼ ɑ d ɛ m ɪ ɪ s
აკადემიური	ɑ kʼ ɑ d ɛ m ɪ u r ɪ
აკაკი	ɑ kʼ ɑ kʼ i
აკეთებს	ɑ kʼ ɛ tʰ ɛ b s
აკლია	ɑ kʼ l i ɑ
აკორდეონი	ɑ kʼ ɔ r d ɛ ɔ n ɪ
აკრძალული	ɑ kʼ r d z ɑ l u l i
აკურატულად	ɑ kʼ u r ɑ tʼ u l ɑ d
აკურატული	ɑ kʼ u r ɑ tʼ u l i
ალადასტური	ɑ l ɑ d ɑ s tʼ u r ɪ
ალბათ	ɑ l b ɑ tʰ
ალერსით	ɑ l ɛ r s ɪ tʰ
