가감	k a̠ ɡ a̠ m
가강수량	k a̠ ɡ a̠ ŋ sʰ u ɾ j a̠ ŋ
가게	k a̠ː ɡ e̞
가계	k a̠ ɡ j e̞
가공	k a̠ ɡ o̞ ŋ
가관	k a̠ː ɡ w a̠ n
가구	k a̠ ɡ u
가까이	k a̠ k͈ a̠ i
가깝다	k a̠ k͈ a̠ p̚ t͈ a̠
가끔씩	k a̠ k͈ ɯ m ɕ͈ i k̚
가나	k a̠ n a̠
가난	k a̠ n a̠ n
가난하다	k a̠ n a̠ n ɦ a̠ d a̠
가능	k a̠ː n ɯ ŋ
가능하다	k a̠ː n ɯ ŋ ɦ a̠ d a̠
가드	k a̠ d ɯ
가득하다	k a̠ d ɯ kʰ a̠ d a̠
가락	k a̠ ɾ a̠ k̚
가랑비	k a̠ ɾ a̠ ŋ b i
가렵다	k a̠ ɾ j ʌ̹ p̚ t͈ a̠
가로	k a̠ ɾ o̞
가로등	k a̠ ɾ o̞ d ɯ ŋ
가르침	k a̠ ɾ ɯ t͡ɕʰ i m
가만히	k a̠ m a̠ n ʝ i
가면	k a̠ː m j ʌ̹ n
가뭄	k a̠ m u m
가브리엘	k a̠ b ɯ ɾ i e̞ ɭ
가사	k a̠ sʰ a̠
가산	k a̠ sʰ a̠ n
가수	k a̠ sʰ u
가스	k͈ a̠ sʰ ɯ
가슴	k a̠ sʰ ɯ m
가야	k a̠ j a̠
가요	k a̠ j o
가위	k a̠ ɥ i
가을	k a̠ ɯ ɭ
가이드	k a̠ i d ɯ
가자	k a̠ d͡ʑ a̠
가정부	k a̠ d͡ʑ ʌ̹ ŋ b u
가족	k a̠ d͡ʑ o̞ k̚
가지고	k a̠ d͡ʑ i ɡ o̞
가지다	k a̠ d͡ʑ i d a̠
가짜	k a̠ː t͡ɕ͈ a̠
가치	k a̠ t͡ɕʰ i
가치관	k a̠ t͡ɕʰ i ɡ w a̠ n
가톨릭	k a̠ tʰ o̞ ɭ ʎ i k̚
가히	k a̠ː ʝ i
각각	k a̠ k̚ k͈ a̠ k̚
각국	k a̠ k̚ k͈ u k̚
각기	k a̠ k̚ k͈ i
각도	k a̠ k̚ t͈ o̞
각본	k a̠ k̚ p͈ o̞ n
각자	k a̠ k̚ t͡ɕ͈ a̠
각종	k a̠ k̚ t͡ɕ͈ o̞ ŋ
간단히	k a̠ n d a̠ n ʝ i
간사	k a̠ n sʰ a̠
간섭	k a̠ n sʰ ʌ̹ p̚
간접	k a̠ n d͡ʑ ʌ̹ p̚
간주	k a̠ n d͡ʑ u
간첩	k a̠ː n t͡ɕʰ ʌ̹ p̚
간판	k a̠ n pʰ a̠ n
간호사	k a̠ n β o̞ sʰ a̠
갈고	k a̠ ɭ ɡ o̞
갈등	k a̠ ɭ t͈ ɯ ŋ
갈매기	k a̠ ɭ m e̞ ɡ i
갈비	k a̠ ɭ b i
갈비뼈	k a̠ ɭ b i p͈ j ʌ̹
갈수록	k a̠ ɭ s͈ u ɾ o̞ k̚
갈증	k a̠ ɭ t͡ɕ͈ ɯ ŋ
감각	k a̠ː m ɡ a̠ k̚
감기	k a̠ː m ɡ i
감독	k a̠ m d o̞ k̚
감사	k a̠ː m sʰ a̠
감사하다	k a̠ː m sʰ a̠ ɦ a̠ d a̠
감상	k a̠ m sʰ a̠ ŋ
