abandonner	a b ɑ̃ d ɔ n e
abby	a b i
abidjan	a b i d ʒ ɑ̃
abject	a b ʒ ɛ k t
abolir	a b ɔ l i ʁ
abonnement	a b ɔ n m ɑ̃
abou	a b u
absence	a p s ɑ̃ s
absolument	a p s ɔ l y m ɑ̃
absolus	a p s ɔ l y
absurde	a p s y ʁ d
abusif	a b y z i f
académie	a k a d e m i
acceptation	a k s ɛ p t a s j ɔ̃
accepter	a k s ɛ p t e
accepté	a k s ɛ p t e
accessoire	a k s e s w a ʁ
accident	a k s i d ɑ̃
accompagner	a k ɔ̃ p a ɲ e
accorder	a k ɔ ʁ d e
accordé	a k ɔ ʁ d e
accroître	a k ʁ w a t ʁ
accrue	a k ʁ y
accueil	a k œ j
accusation	a k y z a s j ɔ̃
accusé	a k y z e
accès	a k s ɛ
acheter	a ʃ t e
achever	a ʃ v e
achevé	a ʃ v e
achèvement	a ʃ ɛ v m ɑ̃
acolyte	a k ɔ l i t
acquisition	a k i z i s j ɔ̃
acquérir	a k e ʁ i ʁ
acronyme	a k ʁ ɔ n i m
acte	a k t
actes	a k t
acteur	a k t œ ʁ
acteurs	a k t œ ʁ
actif	a k t i f
actifs	a k t i f
actionnaire	a k s j ɔ n ɛ ʁ
actives	a k t i v
actrice	a k t ʁ i s
actualité	a k t ɥ a l i t e
actualités	a k t ɥ a l i t e
actuel	a k t ɥ ɛ l
actuelle	a k t ɥ ɛ l
actuellement	a k t ɥ ɛ l m ɑ̃
adam	a d ɑ̃
adaptation	a d a p t a s j ɔ̃
adapter	a d a p t e
adapté	a d a p t e
adeline	a d l i n
adhérents	a d e ʁ ɑ̃
adhésion	a d e z j ɔ̃
adieu	a d j ø
adjoint	a d ʒ w ɛ̃
adjugeant	a d ʒ y ʒ ɑ̃
administration	a d m i n i s t ʁ a s j ɔ̃
admissions	a d m i s j ɔ̃
adolescent	a d ɔ l ɛ s ɑ̃
adolescente	a d ɔ l ɛ s ɑ̃ t
adopter	a d ɔ p t e
adoption	a d ɔ p s j ɔ̃
adresses	a d ʁ ɛ s
adversaire	a d v ɛ ʁ s ɛ ʁ
affiche	a f i ʃ
afficher	a f i ʃ e
affirmait	a f i ʁ m ɛ
affirmant	a f i ʁ m ɑ̃
affirme	a f i ʁ m
affirment	a f i ʁ m
affirmé	a f i ʁ m e
affriolant	a f ʁ i j ɔ l ɑ̃
affrontement	a f ʁ ɔ̃ t m ɑ̃
affronter	a f ʁ ɔ̃ t e
afghan	a f ɡ ɑ̃
afghanistan	a f ɡ a n i s t ɑ̃
afin	a f ɛ̃
africaine	a f ʁ i k ɛ n
afrique	a f ʁ i k
age	a ʒ
agenda	a ʒ ɛ̃ d a
agent	a ʒ ɑ̃
agents	a ʒ ɑ̃
agir	a ʒ i ʁ
agnès	a ɲ ɛ s
agrandir	a ɡ ʁ ɑ̃ d i ʁ
agression	a ɡ ʁ ɛ s j ɔ̃
agricole	a ɡ ʁ i k ɔ l
agriculture	a ɡ ʁ i k y l t y ʁ
agréable	a ɡ ʁ e a b l
aigle	ɛ ɡ l
ailier	ɛ l j e
aillent	a j
aime	ɛ m
aiment	ɛ m
aimerait	ɛ m ʁ ɛ
aimons	ɛ m ɔ̃
ainsi	ɛ̃ s i
aise	ɛ z
ajouté	a ʒ u t e
ajuster	a ʒ y s t e
alain	a l ɛ̃
alberta	a l b ɛ ʁ t a
album	a l b ɔ m
alentours	a l ɑ̃ t u ʁ
alerte	a l ɛ ʁ t
alerter	a l ɛ ʁ t e
alex	a l ɛ k s
alexandre	a l ɛ k s ɑ̃ d ʁ
algérie	a l ʒ e ʁ i
alien	a l j ɛ n
aligner	a l i ɲ e
alimentaire	a l i m ɑ̃ t ɛ ʁ
alimentation	a l i m ɑ̃ t a s j ɔ̃
alimenter	a l i m ɑ̃ t e
aline	a l i n
allaient	a l ɛ
allait	a l ɛ
allaitement	a l ɛ t m ɑ̃
allemagne	a l m a ɲ
allemand	a l m ɑ̃
allemands	a l m ɑ̃
aller	a l e
allez	a l e
alliance	a l j ɑ̃ s
allocution	a l ɔ k y s j ɔ̃
allons	a l ɔ̃
allumeuse	a l y m ø z
allure	a l y ʁ
allusion	a l y z j ɔ̃
allé	a l e
allée	a l e
alors	a l ɔ ʁ
alpes	a l p
alphonse	a l f ɔ̃ s
alsacien	a l z a s j ɛ̃
altitude	a l t i t y d
alès	a l ɛ s
amateur	a m a t œ ʁ
amateurs	a m a t œ ʁ
ambassadeur	ɑ̃ b a s a d œ ʁ
ambiance	ɑ̃ b j ɑ̃ s
ambigu	ɑ̃ b i ɡ y
ambitieux	ɑ̃ b i s j ø
ambition	ɑ̃ b i s j ɔ̃
ambroisie	ɑ̃ b ʁ w a z i
amende	a m ɑ̃ d
amener	a m n e
ami	a m i
amical	a m i k a l
amiral	a m i ʁ a l
amis	a m i
amitié	a m i t j e
amnistie	a m n i s t i
amortissement	a m ɔ ʁ t i s m ɑ̃
amour	a m u ʁ
amoureux	a m u ʁ ø
amours	a m u ʁ
ampleur	ɑ̃ p l œ ʁ
amplifier	ɑ̃ p l i f j e
amsterdam	a m s t ɛ ʁ d a m
amuse	a m y z
amène	a m ɛ n
améliorer	a m e l j ɔ ʁ e
américain	a m e ʁ i k ɛ̃
amérique	a m e ʁ i k
analyste	a n a l i s t
analystes	a n a l i s t
ancien	ɑ̃ s j ɛ̃
ancienne	ɑ̃ s j ɛ n
andrée	ɑ̃ d ʁ e
anglais	ɑ̃ ɡ l ɛ
anglaise	ɑ̃ ɡ l ɛ z
angleterre	ɑ̃ ɡ l ə t ɛ ʁ
anneaux	a n o
annie	a n i
anniversaire	a n i v ɛ ʁ s ɛ ʁ
annonce	a n ɔ̃ s
annulation	a n y l a s j ɔ̃
année	a n e
années	a n e
annélidés	a n e l i d e
anodin	a n ɔ d ɛ̃
anonyme	a n ɔ n i m
antenne	ɑ̃ t ɛ n
anticipation	ɑ̃ t i s i p a s j ɔ̃
anticipatrice	ɑ̃ t i s i p a t ʁ i s
antimoine	ɑ̃ t i m w a n
antioche	ɑ̃ t j ɔ ʃ
antisémitisme	ɑ̃ t i s e m i t i z m
antoine	ɑ̃ t w a n
apparat	a p a ʁ a
apparaître	a p a ʁ ɛ t ʁ
appareil	a p a ʁ ɛ j
apparemment	a p a ʁ a m ɑ̃
apparence	a p a ʁ ɑ̃ s
apparente	a p a ʁ ɑ̃ t
appartement	a p a ʁ t ə m ɑ̃
appel	a p ɛ l
appelant	a p l ɑ̃
appeler	a p ə l e
appelle	a p ɛ l
appliquer	a p l i k e
apport	a p ɔ ʁ
apporter	a p ɔ ʁ t e
apprendre	a p ʁ ɑ̃ d ʁ
apprenti	a p ʁ ɑ̃ t i
appris	a p ʁ i
approche	a p ʁ ɔ ʃ
approcher	a p ʁ ɔ ʃ e
approvisionner	a p ʁ ɔ v i z j ɔ n e
approximativement	a p ʁ ɔ k s i m a t i v m ɑ̃
appui	a p ɥ i
après	a p ʁ ɛ
apéro	a p e ʁ o
aquatique	a k w a t i k
arabe	a ʁ a b
arbitre	a ʁ b i t ʁ
architecture	a ʁ ʃ i t ɛ k t y ʁ
argentine	a ʁ ʒ ɑ̃ t i n
aria	a ʁ j a
arles	a ʁ l
armes	a ʁ m
armé	a ʁ m e
armée	a ʁ m e
arrache	a ʁ a ʃ
arracher	a ʁ a ʃ e
arraché	a ʁ a ʃ e
arranger	a ʁ ɑ̃ ʒ e
arrestation	a ʁ ɛ s t a s j ɔ̃
arrive	a ʁ i v
arriver	a ʁ i v e
arrivée	a ʁ i v e
arrière	a ʁ j ɛ ʁ
arrête	a ʁ ɛ t
art	a ʁ
article	a ʁ t i k l
artisan	a ʁ t i z ɑ̃
artiste	a ʁ t i s t
artistes	a ʁ t i s t
artistique	a ʁ t i s t i k
arts	a ʁ
as	ɑ s
ascendant	a s ɑ̃ d ɑ̃
asiatique	a z j a t i k
asie	a z i
asile	a z i l
aspect	a s p ɛ
asphyxie	a s f i k s i
assaut	a s o
assemblée	a s ɑ̃ b l e
assez	a s e
assis	a s i
assises	a s i z
assistent	a s i s t
assister	a s i s t e
association	a s ɔ s j a s j ɔ̃
associative	a s ɔ s j a t i v
associer	a s ɔ s j e
assume	a s y m
assumer	a s y m e
assumera	a s y m ʁ a
assumé	a s y m e
assurance	a s y ʁ ɑ̃ s
assurer	a s y ʁ e
assurément	a s y ʁ e m ɑ̃
atelier	a t ə l j e
athlète	a t l ɛ t
atlantique	a t l ɑ̃ t i k
atomes	a t ɔ m
atomique	a t ɔ m i k
atteindre	a t ɛ̃ d ʁ
attend	a t ɑ̃
attendre	a t ɑ̃ d ʁ
attends	a t ɑ̃
attendu	a t ɑ̃ d y
attentat	a t ɑ̃ t a
attente	a t ɑ̃ t
attention	a t ɑ̃ s j ɔ̃
atterrissage	a t ɛ ʁ i s a ʒ
attirer	a t i ʁ e
attitude	a t i t y d
attrait	a t ʁ ɛ
aubaine	o b ɛ n
aucun	o k œ̃
aucune	o k y n
audace	o d a s
audience	o d j ɑ̃ s
augmentation	o ɡ m ɑ̃ t a s j ɔ̃
auparavant	o p a ʁ a v ɑ̃
auprès	o p ʁ ɛ
auquel	o k ɛ l
aura	o ʁ a
aurait	o ʁ ɛ
aurions	o ʁ j ɔ̃
auront	o ʁ ɔ̃
australie	o s t ʁ a l i
australien	o s t ʁ a l j ɛ̃
autobus	o t o b y s
automatiquement	o t ɔ m a t i k m ɑ̃
automne	o t ɔ n
automobile	o t ɔ m ɔ b i l
autonomie	o t ɔ n ɔ m i
autopsie	o t ɔ p s i
autoroute	o t ɔ ʁ u t
autoroutier	o t ɔ ʁ u t j e
autour	o t u ʁ
autrement	o t ʁ ə m ɑ̃
autriche	o t ʁ i ʃ
auxquelles	o k ɛ l
avais	a v ɛ
avait	a v ɛ
avance	a v ɑ̃ s
avancé	a v ɑ̃ s e
avancée	a v ɑ̃ s e
avant	a v ɑ̃
avantage	a v ɑ̃ t a ʒ
avare	a v a ʁ
avec	a v ɛ k
avenir	a v n i ʁ
aventure	a v ɑ̃ t y ʁ
avenue	a v n y
avertir	a v ɛ ʁ t i ʁ
avertissement	a v ɛ ʁ t i s m ɑ̃
aveugle	a v œ ɡ l
avez	a v e
aviation	a v j a s j ɔ̃
avignon	a v i ɲ ɔ̃
avion	a v j ɔ̃
avions	a v j ɔ̃
avis	a v i
avisé	a v i z e
avocat	a v ɔ k a
avons	a v ɔ̃
axel	a k s ɛ l
ayant	ɛ j ɑ̃
ayez	ɛ j e
azerbaïdjan	a z ɛ ʁ b a j d ʒ ɑ̃
azuréenne	a z y ʁ e ɛ n
aérienne	a e ʁ j ɛ n
aéroport	a e ʁ ɔ p ɔ ʁ
baby	b a b i
babylone	b a b i l ɔ n
bader	b a d e
bagage	b a ɡ a ʒ
bagages	b a ɡ a ʒ
bagdad	b a ɡ d a d
bahreïn	b a ʁ ɛ j n
baiser	b ɛ z e
baisse	b ɛ s
baladeur	b a l a d œ ʁ
balayer	b a l ɛ j e
ballon	b a l ɔ̃
bamako	b a m a k o
banal	b a n a l
banane	b a n a n
banc	b ɑ̃
banderilles	b ɑ̃ d ʁ i j
banderole	b ɑ̃ d ʁ ɔ l
bangkok	b ɑ̃ k ɔ k
banlieue	b ɑ̃ l j ø
bannir	b a n i ʁ
banque	b ɑ̃ k
banquier	b ɑ̃ k j e
bara	b a ʁ a
barcelone	b a ʁ s ə l ɔ n
bardot	b a ʁ d o
baromètre	b a ʁ ɔ m ɛ t ʁ
barque	b a ʁ k
bas	b ɑ
basculer	b a s k y l e
basculé	b a s k y l e
baseball	b ɛ z b ɔ l
basile	b a z i l
basket	b a s k ɛ t
basque	b a s k
basse	b ɑ s
bataillon	b a t a j ɔ̃
bateau	b a t o
batteur	b a t œ ʁ
baudouin	b o d w ɛ̃
baume	b o m
bavière	b a v j ɛ ʁ
bazar	b a z a ʁ
bce	b e s e ø
bd	b e d e
beau	b o
beauchamp	b o ʃ ɑ̃
beaucoup	b o k u
beauté	b o t e
bec	b ɛ k
bel	b ɛ l
belge	b ɛ l ʒ
belgique	b ɛ l ʒ i k
belle	b ɛ l
belles	b ɛ l
benêt	b ə n ɛ
berlin	b ɛ ʁ l ɛ̃
bernard	b ɛ ʁ n a ʁ
berne	b ɛ ʁ n
bertrand	b ɛ ʁ t ʁ ɑ̃
besoin	b ə z w ɛ̃
besson	b ɛ s ɔ̃
biathlon	b j a t l ɔ̃
bible	b i b l
bien	b j ɛ̃
bienfait	b j ɛ̃ f ɛ
bienvenue	b j ɛ̃ v ə n y
bilan	b i l ɑ̃
bilatéral	b i l a t e ʁ a l
bill	b i l
billet	b i j ɛ
bio	b j o
biologie	b j ɔ l ɔ ʒ i
bière	b j ɛ ʁ
black	b l a k
blague	b l a ɡ
blaise	b l ɛ z
blanc	b l ɑ̃
blanche	b l ɑ̃ ʃ
blasé	b l ɑ z e
blesse	b l ɛ s
blessure	b l e s y ʁ
blessé	b l e s e
bloc	b l ɔ k
blocage	b l ɔ k a ʒ
blog	b l ɔ ɡ
blonde	b l ɔ̃ d
bloquer	b l ɔ k e
blouson	b l u z ɔ̃
boire	b w a ʁ
bombe	b ɔ̃ b
bond	b ɔ̃
bonheur	b ɔ n œ ʁ
bonne	b ɔ n
bonnes	b ɔ n
bonus	b ɔ n y s
bord	b ɔ ʁ
bordeaux	b ɔ ʁ d o
bordure	b ɔ ʁ d y ʁ
bordée	b ɔ ʁ d e
borne	b ɔ ʁ n
bosnie	b o z n i
botte	b ɔ t
boucle	b u k l
boucler	b u k l e
bouclier	b u k l i j e
bouddha	b u d a
boue	b u
bouillon	b u j ɔ̃
boulanger	b u l ɑ̃ ʒ e
boule	b u l
boulevard	b u l v a ʁ
boulot	b u l o
boursier	b u ʁ s j e
boursière	b u ʁ s j ɛ ʁ
bousculent	b u s k y l
bousculé	b u s k y l e
bouteille	b u t ɛ j
bouteilles	b u t ɛ j
bouée	b w e
box	b ɔ k s
bracelet	b ʁ a s l ɛ
branche	b ʁ ɑ̃ ʃ
bras	b ʁ ɑ
break	b ʁ ɛ k
bretagne	b ʁ ə t a ɲ
brevet	b ʁ ə v ɛ
bridge	b ʁ i d ʒ
brigade	b ʁ i ɡ a d
brin	b ʁ ɛ̃
britannique	b ʁ i t a n i k
british	b ʁ i t i ʃ
brouillard	b ʁ u j a ʁ
bruit	b ʁ ɥ i
bruno	b ʁ y n o
brut	b ʁ y t
bruxellois	b ʁ y s ɛ l w a
brésil	b ʁ e z i l
brésilien	b ʁ e z i l j ɛ̃
brûlé	b ʁ y l e
budget	b y d ʒ ɛ
budgétaire	b y d ʒ e t ɛ ʁ
bulle	b y l
