աա	ɑ ɑ
աախ	ɑ ɑ χ ə
աած	ɑ ɑ t s ə
աահ	ɑ ɑ h ə
աապ	ɑ ɑ p ə
աբաջյան	ɑ b ɑ d ʒ j ɑ n
աբաս	ɑ b ɑ s
աբգար	ɑ b ɡ ɑ ɾ
աբել	ɑ b ɛ l
աբերդին	ɑ b ɛ ɾ d i n
աբխազական	ɑ pʰ χ ɑ z ɑ k ɑ n
աբխազիա	ɑ pʰ χ ɑ z j ɑ
աբոնեմենտային	ɑ b ɔ n ɛ m ɛ n t ɑ j i n
աբովյան	ɑ b ɔ v j ɑ n
աբսուրդ	ɑ pʰ s u ɾ d
աբստրակտ	ɑ pʰ s t ɾ ɑ k t
աբրահամյան	ɑ b ɾ ɑ h ɑ m j ɑ n
ագն	ɑ ɡ ə n ə
ագռավ	ɑ ɡ r ɑ v
ագրեսիա	ɑ ɡ ɾ ɛ s j ɑ
ադամանդ	ɑ d ɑ m ɑ n d
ադրբեջան	ɑ d ə ɾ b ɛ d͡ʒ ɑ n
ադրբեջանական	ɑ d ə ɾ b ɛ d͡ʒ ɑ n ɑ k ɑ n
ադրբեջաներեն	ɑ d ə ɾ b ɛ d͡ʒ ɑ n ɛ ɾ ɛ n
ադրբեջանցի	ɑ d ə ɾ b ɛ d͡ʒ ɑ n t͡sʰ i
ազատագրել	ɑ z ɑ t ɑ ɡ ɾ ɛ l
ազատագրում	ɑ z ɑ t ɑ ɡ ɾ u m
ազատագրվել	ɑ z ɑ t ɑ ɡ ə ɾ v ɛ l
ազատել	ɑ z ɑ t ɛ l
ազգ	ɑ z ɡ
ազգագրական	ɑ z ɡ ɑ ɡ ə ɾ ɑ k ɑ n
ազգական	ɑ z ɡ ɑ k ɑ n
ազգային	ɑ z ɡ ɑ j i n
ազգայնականություն	ɑ z ɡ ɑ j n ɑ k ɑ n u tʰ j u n
ազգասեր	ɑ z ɡ ɑ s ɛ ɾ
ազգեր	ɑ z ɡ ɛ ɾ
ազդանշան	ɑ z d ɑ n ə ʃ ɑ n
ազդարարել	ɑ z d ɑ ɾ ɑ ɾ ɛ l
ազդել	ɑ z d ɛ l
ազդեցիկ	ɑ z d ɛ t͡sʰ i k
ազդեցություն	ɑ z d ɛ t͡sʰ u tʰ j u n
ազդող	ɑ z d ɔ ʁ
ազերի	ɑ z ɛ ɾ i
ազիկ	ɑ z i k
ազնավուր	ɑ z n ɑ v u ɾ
ազնիվ	ɑ z n i v
ազոխ	ɑ z o χ
աթոռ	ɑ tʰ ɔ r
աժ	ɑ ʒ ə
ալ	ɑ l
ալավերդի	ɑ l ɑ v ɛ ɾ d i
ալբերտ	ɑ l b ɛ ɾ t
ալեքսանդր	ɑ l ɛ kʰ s ɑ n d ə ɾ
ալեքսանդրիա	ɑ l ɛ kʰ s ɑ n d ɾ j ɑ
ալի	ɑ l i
ալիք	ɑ l i kʰ
ալկոհոլ	ɑ l k ɔ h ɔ l
ալկոհոլային	ɑ l k o h o l ɑ j i n
ալտերնատիվ	ɑ l t ɛ ɾ n ɑ t i v
ախալցխա	ɑ χ ɑ l t͡sʰ ə χ ɑ
ախորժակ	ɑ χ ɔ ɾ ʒ ɑ k
ախուրյան	ɑ χ u ɾ j ɑ n
ախպեր	ɑ χ p ɛ ɾ
ախտորոշում	ɑ χ t ɔ ɾ ɔ ʃ u m
ածել	ɑ t͡s ɛ l
ածիկ	ɑ t͡s i k
ական	ɑ k ɑ n
ականավոր	ɑ k ɑ n ɑ v ɔ ɾ
ականի	ɑ k ɑ n i
ականջ	ɑ k ɑ n d͡ʒ
ականջակալ	ɑ k ɑ n d͡ʒ ɑ k ɑ l
ակնածանք	ɑ k n ɑ t͡s ɑ ŋ kʰ
ակներեւ	ɑ k n ɛ ɾ ɛ v
ակնթարթ	ɑ k ə n tʰ ɑ ɾ tʰ
ակնկալել	ɑ k ə ŋ k ɑ l ɛ l
ակնկալիք	ɑ k ə ŋ k ɑ l i kʰ
ակնհայտ	ɑ k ə n h ɑ j t
ակնոց	ɑ k n ɔ t͡sʰ
ակումբ	ɑ k u m b
ակունք	ɑ k u ŋ kʰ
ակրոպոլիս	ɑ k ɾ ɔ p ɔ l i s
ահ	ɑ h
ահաբեկել	ɑ h ɑ b ɛ k ɛ l
ահաբեկիչ	ɑ h ɑ b ɛ k i t͡ʃʰ
ահաբեկչական	ɑ h ɑ b ɛ k t ʃʰ ɑ k ɑ n
ահաբեկչություն	ɑ h ɑ b ɛ k t ʃʰ u t sʰ j u n
ահագին	ɑ h ɑ ɡ i n
ահազանգ	ɑ h ɑ z ɑ ŋ ɡ
ահազանգել	ɑ h ɑ z ɑ ŋ ɡ ɛ l
ահազանգում	ɑ h ɑ z ɑ ŋ ɡ u m
ահարոն	ɑ h ɑ ɾ o n
ահեղ	ɑ h ɛ ʁ
աղա	ɑ ʁ ɑ
աղանդավոր	ɑ ʁ ɑ n d ɑ v o ɾ
աղանդավորական	ɑ ʁ ɑ n d ɑ v o ɾ ɑ k ɑ n
աղասի	ɑ ʁ ɑ s i
աղավաղել	ɑ ʁ ɑ v ɑ ʁ ɛ l
աղավնի	ɑ ʁ ɑ v n i
աղբաման	ɑ ʁ b ɑ m ɑ n
աղեկ	ɑ ʁ ɛ k
աղետ	ɑ ʁ ɛ t
աղմուկ	ɑ ʁ m u k
աղյուսակ	ɑ ʁ j u s ɑ k
աղոտ	ɑ ʁ ɔ t
աղու	ɑ ʁ u
աղվան	ɑ ʁ v ɑ n
աղցան	ɑ ʁ t͡sʰ ɑ n
աղքատ	ɑ χ kʰ ɑ t
աճ	ɑ t͡ʃ
աճել	ɑ t͡ʃ ɛ l
աճեցնել	ɑ t͡ʃ ɛ t͡sʰ n ɛ l
ամ	ɑ m
ամայի	ɑ m ɑ j i
աման	ɑ m ɑ n
ամանորյա	ɑ m ɑ n ɔ ɾ j ɑ
ամառային	ɑ m ɑ r ɑ j i n
ամբաստանյալ	ɑ m b ɑ s t ɑ n j ɑ l
ամբարտավան	ɑ m b ɑ ɾ t ɑ v ɑ n
ամբողջ	ɑ m b ɔ χ t͡ʃʰ
ամբողջություն	ɑ m b o χ t ʃʰ u t sʰ j u n
ամեն	ɑ m ɛ n
ամենաբարձր	ɑ m ɛ n ɑ b ɑ ɾ t͡sʰ ə ɾ
ամենազոր	ɑ m ɛ n ɑ z ɔ ɾ
ամենալավ	ɑ m ɛ n ɑ l ɑ v
ամենայն	ɑ m ɛ n ɑ j n
ամենեւին	ɑ m ɛ n ɛ v i n
ամենուր	ɑ m ɛ n u ɾ
ամենուրեք	ɑ m ɛ n u ɾ ɛ kʰ
ամերիկա	ɑ m ɛ ɾ i k ɑ
