abatai	ɐ b aː t ɐ ɪ̯ˑ
abato	ɐ b aː t oː
abatuose	ɐ b aː t u ə sʲ ɛ
abchazai	ɐ p x aː z ɐ ɪ̯ˑ
abchaze	ɐ p x aː zʲ ɛ
abchazuose	ɐ p x aː z u ə sʲ ɛ
abchazės	ɐ p x aː zʲ eː s
abejinga	ɐ bʲ ɛ j ɪ n ɡ ɐ
abejingais	ɐ bʲ ɛ j ɪ n ɡ ɐ j s
abejingam	ɐ bʲ ɛ j ɪ n ɡ ɐ m
abejingas	ɐ bʲ ɛ j ɪ ŋ ɡ ɐ s
abejingesnei	ɐ bʲ ɛ j ɪ n ɡʲ ɛ sʲ nʲ ɛ j
abejingesniam	ɐ bʲ ɛ j ɪ n ɡʲ ɛ sʲ nʲ æː m
abejingi	ɐ bʲ ɛ j ɪ nʲ ɡʲ ɪ
abejingiausiems	ɐ bʲ ɛ j ɪ n ɡʲ æː ʊ sʲ j ɛ m s
abejingiausio	ɐ bʲ ɛ j ɪ n ɡʲ æː ʊ sʲ o
abejingiems	ɐ bʲ ɛ j ɪ nʲ ɡʲ j ɛ m s
abejingo	ɐ bʲ ɛ j ɪ n ɡ o
abejingoms	ɐ bʲ ɛ j ɪ n ɡ o m s
abejingu	ɐ bʲ ɛ j ɪ n ɡ ʊ
abejingumas	ɐ bʲ ɛ j ɪ ŋ ɡ ʊ m ɐ s
abejingą	ɐ bʲ ɛ j ɪ n ɡ aː
abejingų	ɐ bʲ ɛ j ɪ n ɡ uː
abėcėle	ɐ bʲ eː tʲ sʲ eː lʲ ɛ
abėcėles	ɐ bʲ eː tʲ sʲ eː lʲ ɛ s
abėcėlėms	ɐ bʲ eː tʲ sʲ eː lʲ eː m s
abėcėlę	ɐ bʲ eː tʲ sʲ eː lʲ æː
agresija	ɐ ɡʲ rʲ ɛ sʲ ɪ j ɛ
airijai	ɐ j rʲ ɪ j ɛ j
airijoje	ɐ j rʲ ɪ j o j ɛ
airiška	ɐ j rʲ ɪ ʃ k ɐ
airiškas	ɐ j rʲ ɪ ʃ k ɐ s
airiškasis	ɐ j rʲ ɪ ʃ k ɐ sʲ ɪ s
airiško	ɐ j rʲ ɪ ʃ k o
airiškos	ɐ j rʲ ɪ ʃ k o s
airišku	ɐ j rʲ ɪ ʃ k ʊ
akis	ɐ kʲ ɪ s
aklais	ɐ k l ɐ j s
aklaisiais	ɐ k l ɐ j sʲ ɛ j s
aklajai	aː k l ɐ j ɛ j
aklajam	ɐ k l aː j ɛ m
aklam	ɐ k l aː m
aklame	ɐ k l ɐ mʲ ɛ
aklas	aː k l ɐ s
akli	ɐ k lʲ ɪ
aklieji	ɐ k lʲ j ɛ j ɪ
akliesiems	ɐ k lʲ j ɛ sʲ j e m s
aklo	aː k l o
akloje	ɐ k l o j ɛ
akloji	ɐ k l oː j ɪ
aklojo	aː k l o j o
aklu	ɐ k l ʊ
akluoju	ɐ k l u ɔ j ʊ
akluose	ɐ k l ʊ o sʲ ɛ
akluosius	ɐ k l u ɔ sʲ ʊ s
aklą	aː k l aː
aklų	ɐ k l uː
aklųjų	ɐ k l uː j uː
